City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Usinsk,RU,65.9939,57.5281,9.63,96,99,9.4,overcast clouds
166,Georgetown,MY,5.4112,100.3354,79.9,85,40,5.99,scattered clouds
167,Dondo,MZ,-19.6094,34.7431,80.11,84,9,5.01,clear sky
168,Halkirk,CA,52.2834,-112.1518,32.34,53,57,15.01,broken clouds
169,Torbay,CA,47.6666,-52.7314,43.57,63,75,21.85,broken clouds
170,Haysville,US,37.5645,-97.3523,44.26,34,0,8.05,clear sky
171,Freeport,US,40.6576,-73.5832,33.53,84,100,10.36,light snow
172,Kemi,FI,65.8596,24.8228,31.77,100,100,12.66,snow
173,Khandbari,NP,27.3747,87.2039,50.85,68,25,3.38,scattered clouds
174,Teguise,ES,29.0605,-13.564,62.82,72,20,10.36,few clouds
175,Gladstone,AU,-23.85,151.25,71.53,73,7,10.36,clear sky
176,Sibolga,ID,1.7427,98.7792,75.49,90,100,3.24,overcast clouds
177,Noyabrsk,RU,63.1994,75.4507,-11.96,99,100,9.51,overcast clouds
178,Fergus,US,47.3,-109.2674,47.34,45,26,8.52,scattered clouds
179,Itanagar,IN,27.1,93.6167,52.93,74,0,4.25,clear sky
180,Matara,LK,5.9485,80.5353,74.19,86,100,9.95,overcast clouds
181,Lata,PT,40.1629,-8.3327,54.05,97,54,5.64,broken clouds
182,Antofagasta,CL,-23.65,-70.4,73.22,61,80,10.6,broken clouds
183,Talnakh,RU,69.4865,88.3972,-7.26,70,17,9.15,few clouds
184,Chapais,CA,49.7834,-74.8492,-7.82,78,100,2.77,overcast clouds
185,Yulara,AU,-25.2406,130.9889,66.04,39,3,5.75,clear sky
186,Upernavik,GL,72.7868,-56.1549,-6.79,96,100,14.14,overcast clouds
187,Nabire,ID,-3.3667,135.4833,75.54,92,100,3.56,overcast clouds
188,Tessalit,ML,20.1986,1.0114,68.41,16,19,11.39,few clouds
189,Lukovetskiy,RU,64.2956,41.9211,4.98,98,99,4.7,overcast clouds
190,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,34,7.47,scattered clouds
191,Saldanha,ZA,-33.0117,17.9442,69.85,90,0,20.18,clear sky
192,Nanuque,BR,-17.8392,-40.3539,81.52,73,41,10.98,light rain
193,Wewak,PG,-3.5534,143.6268,77.4,88,100,4.54,overcast clouds
194,Sur,OM,22.5667,59.5289,71.98,68,0,4.0,clear sky
195,Porto Novo,BJ,6.4965,2.6036,81.84,74,9,9.26,clear sky
196,Sindou,BF,10.6667,-5.1667,81.54,11,5,4.68,clear sky
197,Port Macquarie,AU,-31.4333,152.9167,63.9,79,99,2.04,overcast clouds
198,Tayu,ID,-6.5397,111.0518,74.73,94,100,6.82,overcast clouds
199,Buta,CD,2.7858,24.73,76.77,34,99,1.01,overcast clouds
200,San Cristobal,VE,7.7669,-72.225,85.73,36,97,4.59,overcast clouds
201,Evanston,US,42.0411,-87.6901,19.98,51,100,5.99,overcast clouds
202,Dudinka,RU,69.4058,86.1778,-14.91,88,13,6.93,few clouds
203,Pacific Grove,US,36.6177,-121.9166,80.8,60,0,4.61,clear sky
204,Arrecife,ES,28.963,-13.5477,66.27,72,20,10.36,few clouds
205,Dawei,MM,14.0833,98.2,72.7,83,11,2.37,few clouds
206,Cabedelo,BR,-6.9811,-34.8339,86.67,71,10,11.39,clear sky
207,Ponta Do Sol,PT,32.6667,-17.1,65.07,73,96,2.33,overcast clouds
208,Mason City,US,43.1536,-93.201,8.73,58,0,6.91,clear sky
209,Bo Phloi,TH,14.3236,99.5161,82.31,68,95,1.3,overcast clouds
210,Lagunas,PE,-5.2269,-75.6753,85.48,60,100,1.3,light rain
211,Antalaha,MG,-14.9003,50.2788,75.36,91,27,4.72,scattered clouds
212,Kawalu,ID,-7.3817,108.2082,72.43,94,100,1.07,overcast clouds
213,Kupang,ID,-10.1667,123.5833,76.93,86,63,4.88,broken clouds
214,Pirovskoye,RU,57.6267,92.2658,-4.77,95,78,10.4,broken clouds
215,Touros,BR,-5.1989,-35.4608,82.08,71,10,12.5,clear sky
216,Boende,CD,-0.2167,20.8667,81.64,60,95,5.23,overcast clouds
217,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,85,11,12.86,few clouds
218,Saskylakh,RU,71.9167,114.0833,-16.6,86,26,3.22,scattered clouds
219,Opuwo,NA,-18.0607,13.84,69.98,84,99,9.15,light rain
220,Bambous Virieux,MU,-20.3428,57.7575,81.21,89,75,6.91,broken clouds
221,Novomikhaylovskiy,RU,44.2581,38.8578,36.88,78,84,12.8,broken clouds
222,Jinchang,CN,38.4953,102.1739,21.69,71,47,3.85,scattered clouds
223,Yeniseysk,RU,58.4497,92.1703,-2.74,90,19,8.79,few clouds
224,Abnub,EG,27.2696,31.1511,59.07,44,0,9.6,clear sky
225,Xai-Xai,MZ,-25.0519,33.6442,74.71,82,0,8.95,clear sky
226,Banamba,ML,13.55,-7.45,74.57,12,4,9.78,clear sky
227,Cervo,ES,43.6702,-7.4101,50.97,79,88,21.83,overcast clouds
228,Jamestown,US,42.097,-79.2353,22.64,38,100,5.75,overcast clouds
229,Fukue,JP,32.6881,128.8419,52.38,66,100,23.31,overcast clouds
230,Aripuana,BR,-9.1667,-60.6333,77.5,94,99,0.76,overcast clouds
231,El Campo,US,29.1966,-96.2697,59.92,21,0,5.75,clear sky
232,San Fernando,PH,15.0286,120.6898,78.15,90,99,4.81,overcast clouds
233,Qena,EG,26.1615,32.7183,62.8,23,0,7.76,clear sky
234,Rocha,UY,-34.4833,-54.3333,68.22,50,3,15.26,clear sky
235,Kilingi-Nomme,EE,58.1503,24.9642,33.51,75,100,15.84,overcast clouds
236,Lidkoping,SE,58.5052,13.1577,39.22,3,100,13.87,light rain
237,Te Anau,NZ,-45.4167,167.7167,47.35,88,34,1.59,scattered clouds
238,Zhigansk,RU,66.7697,123.3711,-36.8,100,65,2.28,broken clouds
239,Rosarito,MX,32.3333,-117.0333,89.67,24,6,3.27,clear sky
240,Nelson Bay,AU,-32.7167,152.15,64.99,72,100,9.48,overcast clouds
241,Weligama,LK,5.9667,80.4167,73.49,88,100,9.42,overcast clouds
242,Mountain Home,US,43.133,-115.6912,41.74,93,0,9.22,clear sky
243,Xichang,CN,27.8964,102.2634,38.64,72,0,1.36,clear sky
244,Perg,AT,48.25,14.6333,38.59,67,0,4.68,clear sky
245,Baiyin,CN,36.5583,104.2081,23.76,83,25,1.5,scattered clouds
246,Ostrovnoy,RU,68.0531,39.5131,15.66,66,100,17.31,overcast clouds
247,Fortuna,US,40.5982,-124.1573,44.94,54,84,3.83,broken clouds
248,Norman Wells,CA,65.282,-126.8329,-11.16,64,75,5.75,broken clouds
249,Guerrero Negro,MX,27.9769,-114.0611,80.01,21,15,4.81,few clouds
250,Kudahuvadhoo,MV,2.6708,72.8944,81.55,78,100,10.83,overcast clouds
251,Necochea,AR,-38.5473,-58.7368,69.94,36,1,7.11,clear sky
252,Middelburg,ZA,-25.7751,29.4648,66.06,49,100,3.6,overcast clouds
253,Katobu,ID,-4.9408,122.5276,73.78,95,83,3.96,broken clouds
254,Ulaangom,MN,49.9811,92.0667,-26.14,98,100,1.72,overcast clouds
255,Mount Gambier,AU,-37.8333,140.7667,60.71,94,100,9.22,overcast clouds
256,At-Bashi,KG,41.1702,75.8106,6.39,75,23,4.0,few clouds
257,Wollongong,AU,-34.4333,150.8833,69.19,89,100,6.89,overcast clouds
258,La Palma,US,33.8464,-118.0467,88.93,17,20,3.44,few clouds
259,Buinsk,RU,54.95,48.2833,15.64,94,67,7.67,light snow
260,Pemangkat,ID,1.1667,108.9667,78.3,86,97,1.74,overcast clouds
261,Klin,RU,56.3333,36.7333,28.71,83,100,11.1,light snow
262,Westport,US,41.1415,-73.3579,32.45,78,100,12.66,light snow
263,Barcelona,ES,41.3888,2.159,56.77,84,40,13.8,scattered clouds
264,Gurupi,BR,-11.7292,-49.0686,77.61,88,99,3.74,overcast clouds
265,Victoria,HK,22.2855,114.1577,60.24,87,100,8.99,overcast clouds
266,Kendari,ID,-3.945,122.4989,74.16,94,86,4.63,overcast clouds
267,Motozintla,MX,15.3667,-92.2333,71.13,63,87,5.46,overcast clouds
268,Tchollire,CM,8.4022,14.1698,77.85,13,100,0.83,overcast clouds
269,Airai,TL,-8.9266,125.4092,58.48,90,37,1.92,scattered clouds
270,Fort Saint James,CA,54.4333,-124.25,34.38,88,100,2.44,overcast clouds
271,Erechim,BR,-27.6342,-52.2739,80.83,50,49,13.04,scattered clouds
272,Curico,CL,-34.9833,-71.2333,87.69,25,0,17.69,clear sky
273,Stratonion,GR,40.5141,23.8247,48.69,70,82,1.74,broken clouds
274,Lloret De Mar,ES,41.6999,2.8457,57.06,79,9,5.01,clear sky
275,Boffa,GN,10.1667,-14.0333,75.88,81,7,5.84,clear sky
276,Pacifica,US,37.6138,-122.4869,74.91,55,3,1.99,clear sky
277,Aklavik,CA,68.2191,-135.0107,-24.77,68,75,3.44,broken clouds
278,Mount Isa,AU,-20.7333,139.5,73.17,88,33,0.0,scattered clouds
279,Isangel,VU,-19.55,169.2667,78.91,94,40,4.61,scattered clouds
280,Visconde Do Rio Branco,BR,-21.0103,-42.8406,79.21,83,49,3.0,scattered clouds
281,San Bartolome De Tirajana,ES,27.9248,-15.5733,56.32,71,20,14.97,few clouds
282,Pisco,PE,-13.7,-76.2167,80.65,50,0,12.66,clear sky
283,Trincomalee,LK,8.5711,81.2335,79.72,72,92,14.9,overcast clouds
284,Krasnyy Oktyabr,RU,56.1167,38.8833,25.07,92,100,8.14,light snow
285,La Ronge,CA,55.1001,-105.2842,12.25,84,100,10.4,overcast clouds
286,Sorland,NO,67.667,12.6934,33.66,59,100,25.84,light snow
287,Odweyne,SO,9.4092,45.064,66.13,44,94,11.41,overcast clouds
288,Mehamn,NO,71.0357,27.8492,21.38,93,100,16.24,snow
289,Comodoro Rivadavia,AR,-45.8667,-67.5,82.26,32,40,17.27,scattered clouds
290,Sao Filipe,CV,14.8961,-24.4956,75.6,59,52,11.52,broken clouds
291,Paamiut,GL,61.994,-49.6678,12.7,95,100,19.13,light snow
292,Gwadar,PK,25.1216,62.3254,71.1,68,70,5.91,broken clouds
293,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,74,20,9.22,few clouds
294,Severomuysk,RU,56.1481,113.4267,-27.6,93,15,1.7,few clouds
